ID,Airline,PeakTime,Destination,Purpose,Transportation,Problem,Satisfaction,NetPromoter,NPS,Food,Store,Restroom,Safety,Cleanliness,Gender,Age,Income,FreqFlyer,MemberPremiumClear,Language
3069,PHILIPPINE AIRLINES,International,Asia,Vacation,Dropped off,NA,4,8,Passives,3,4,4,4,4,Female,35-44,"less than $50,000",Yes,No,English
3070,UNITED,Domestic Peak,U.S. West,Wedding/funeral/graduation,Connect from another flight,NA,5,10,Promoters,5,NA,5,5,5,Female,55-64,"$100,001-$150,000",No,NA,English
3071,PHILIPPINE AIRLINES,International,Asia,Visit friends,Hotel Shuttle,NA,3,8,Passives,3,2,4,4,4,Female,18-24,"$50,000-$100,000",No,No,English
3072,UNITED,Domestic Peak,U.S. West,School event,Connect from another flight,NA,4,9,Promoters,4,4,3,5,4,Male,65 and over,"$150,000 or higher",Yes,No,English
3073,PHILIPPINE AIRLINES,International,Asia,Visit friends,Drove,NA,4,7,Passives,3,NA,4,3,4,Male,55-64,"less than $50,000",No,No,English
3074,COPA,International,Central/South America,Conference,Taxi,"DELAY IN SECURITY ""PRIORITY LINE""",2,0,Detractors,NA,NA,NA,4,NA,Female,45-54,"$150,000 or higher",No,No,English
3075,UNITED,Domestic Peak,U.S. West,Vacation,Connect from another flight,NA,5,9,Promoters,4,4,5,5,5,Female,35-44,"$150,000 or higher",No,No,English
3076,PHILIPPINE AIRLINES,International,Asia,Visit friends,Dropped off,NA,2,5,Detractors,5,4,4,3,NA,Female,25-34,"$50,000-$100,000",No,No,English
3077,UNITED,Domestic Peak,U.S. West,Vacation,Connect from another flight,SECURITY LINE SLOW.,5,9,Promoters,5,4,4,5,4,Male,45-54,"$100,001-$150,000",No,No,English
3078,PHILIPPINE AIRLINES,International,Asia,Vacation,Dropped off,LONG DELAYS @ SECURITY LINE.,4,8,Passives,4,4,4,3,4,Female,45-54,"$50,000-$100,000",No,No,English
3079,COPA,International,Central/South America,Visit friends,Drove,NA,4,10,Promoters,3,NA,5,4,5,Female,25-34,"$100,001-$150,000",Yes,No,English
3080,UNITED,Domestic Peak,U.S. West,Vacation,Connect from another flight,NA,3,8,Passives,4,3,4,5,4,Male,55-64,"$100,001-$150,000",No,No,English
3081,COPA,International,Central/South America,Vacation,Uber/Lyft,NA,3,7,Passives,3,3,4,5,4,Female,25-34,"$100,001-$150,000",No,No,English
3082,UNITED,Domestic Peak,U.S. West,Visit friends,Dropped off,NA,4,11,NA,NA,NA,5,5,5,Female,65 and over,"less than $50,000",No,No,English
3083,PHILIPPINE AIRLINES,International,Asia,Vacation,Uber/Lyft,NA,4,11,NA,4,4,4,4,4,NA,NA,NA,NA,NA,English
3084,COPA,International,Central/South America,Vacation,Dropped off,NA,5,10,Promoters,NA,5,5,5,5,Female,25-34,"less than $50,000",No,No,English
3085,UNITED,Domestic Peak,U.S. West,Vacation,Dropped off,NA,4,7,Passives,3,3,3,4,4,Female,25-34,NA,No,No,English
